post_slug,current_image,replacement_path,status,source_file,match_method
"solar-panels-faqs","temporary","/assets/blog/solar-panels-faqs/featured.png","Replaced","migration/uploads/2023/10/Solar-Panels-FAQs.png","Exact slug/title filename"
"guide-cleaning-solar-panels","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"charging-an-ev-with-solar-panels","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"guide-maintain-solar-system","temporary","/assets/blog/guide-maintain-solar-system/featured.png","Replaced","migration/uploads/2023/10/Guide-To-Maintain-Solar-System.png","Exact slug/title filename"
"solar-panel-maintenance-guide","temporary","/assets/blog/solar-panel-maintenance-guide/featured.png","Replaced","migration/uploads/2023/10/Solar-Panel-Maintenance-Guide.png","Exact slug/title filename"
"solar-panel-in-sydney","temporary","/assets/blog/solar-panel-in-sydney/featured.webp","Replaced","migration/uploads/2024/04/solar_panel_sydney.webp","Exact slug/title filename"
"8-kw-solar-panel-system","temporary","/assets/blog/8-kw-solar-panel-system/featured.png","Replaced","migration/uploads/2023/10/8-KW-Solar-Panel-System-723x394.png","Exact slug/title filename"
"questions-asked-to-solar-installers","temporary","/assets/blog/questions-asked-to-solar-installers/featured.png","Replaced","migration/uploads/2023/10/Questions-To-Be-Asked-To-Solar-Installers.png","Exact slug/title filename"
"5-kw-solar-system","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"will-trees-affect-solar-panels","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"solar-panel-temperature-coefficient","temporary","/assets/blog/solar-panel-temperature-coefficient/featured.png","Replaced","migration/uploads/2023/10/Solar-Panel-Temperature-Coefficient.png","Exact slug/title filename"
"refinancing-house-with-solar-panels","temporary","/assets/blog/refinancing-house-with-solar-panels/featured.png","Replaced","migration/uploads/2023/10/Refinancing-House-With-Solar-Panels.png","Exact slug/title filename"
"10-kw-solar-panel-system","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"financing-rooftop-solar-energy-system","temporary","/assets/blog/financing-rooftop-solar-energy-system/featured.png","Replaced","migration/uploads/2023/09/financing-rooftop-solar-energy-system-1.png","Exact slug/title filename"
"purchasing-power-through-co-operatives","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"right-path-choose-solar-sydney","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"power-produced-by-solar-panels","temporary","/assets/blog/power-produced-by-solar-panels/featured.png","Replaced","migration/uploads/2023/09/power-produced-by-solar-panels.png","Exact slug/title filename"
"steps-solar-installation","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"why-choose-fronius-inverter","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-panel-system","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"importance-solar-panel-installation","temporary","/assets/blog/importance-solar-panel-installation/featured.png","Replaced","migration/uploads/2023/09/Importance-of-Solar-Panel-Installation.png","Exact slug/title filename"
"process-to-get-best-excellent-solar-quotes","temporary","/assets/blog/process-to-get-best-excellent-solar-quotes/featured.png","Replaced","migration/uploads/2023/08/process-to-get-the-best-excellent-solar-quotes-1.png","Exact slug/title filename"
"guide-for-choosing-the-right-solar-panel-system","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"reasons-for-getting-solar-panels","temporary","/assets/blog/reasons-for-getting-solar-panels/featured.png","Replaced","migration/uploads/2023/08/reasons-for-getting-solar-panels.png","Exact slug/title filename"
"switching-to-solar-panels-in-australia","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"solar-panels-for-your-home","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"solar-panel-cleaning","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-installation-process","temporary","/assets/blog/solar-installation-process/featured.png","Replaced","migration/uploads/2025/01/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","Exact slug/title filename"
"most-efficient-solar-systems-install-in-home","temporary","/assets/blog/most-efficient-solar-systems-install-in-home/featured.webp","Replaced","migration/uploads/2023/08/most-efficient-solar-systems-to-install-in-the-home.webp","Exact slug/title filename"
"best-solar-system-for-residential-projects-nsw","temporary","/assets/blog/best-solar-system-for-residential-projects-nsw/featured.webp","Replaced","migration/uploads/2023/08/best-solar-system-for-residential-projects-in-nsw.webp","Exact slug/title filename"
"best-solar-panels-australia","temporary","/assets/blog/best-solar-panels-australia/featured.webp","Replaced","migration/uploads/2024/01/best-solar-panels-in-australia.webp","Exact slug/title filename"
"best-solar-company-wa","temporary","/assets/blog/best-solar-company-wa/featured.png","Replaced","migration/uploads/2023/08/best-solar-company-in-wa.png","Exact slug/title filename"
"best-solar-companies-nsw-australia","temporary","/assets/blog/best-solar-companies-nsw-australia/featured.webp","Replaced","migration/uploads/2023/08/best-solar-companies-nsw-australia.webp","Exact slug/title filename"
"best-solar-companies-in-australia","temporary","/assets/blog/best-solar-companies-in-australia/featured.webp","Replaced","migration/uploads/2023/08/best-solar-companies-in-australia.webp","Exact slug/title filename"
"what-is-a-6-6-kw-solar-system","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-panels-vs-electricity-bills-savings","/assests/blogs/energy-monitoring.jpg","","Not required","",""
"solar-panel-installation-guide","/assests/about/solar-installers-at-work.webp","","Not required","",""
"solar-inverters-explained","/assests/blogs/solar-inverters.jpg","","Not required","",""
"how-to-maintain-your-residential-solar-system","/assests/about/solar-consultation-support.webp","","Not required","",""
"how-to-choose-the-right-solar-system-size","/assests/about/modern-home-solar-panels.webp","","Not required","",""
"how-much-electricity-can-a-6-6-kw-solar-system-produce","/assests/blogs/solar-panel-closeup.jpg","","Not required","",""
